snapped_at,price,market_cap,total_volume
2022-01-12 00:00:00 UTC,1.1081827671998061,0.0,29917.591599699765
2022-01-13 00:00:00 UTC,1.1156862370095502,0.0,27879.870151137442
2022-01-14 00:00:00 UTC,1.2229919414338877,0.0,166093.02914252787
2022-01-15 00:00:00 UTC,1.240415129688276,0.0,59848.31612647864
2022-01-16 00:00:00 UTC,1.2353410484733938,0.0,27012.31645166163
2022-01-17 00:00:00 UTC,1.2315802531385016,0.0,21330.632877586355
2022-01-18 00:00:00 UTC,1.2092931941869571,0.0,29539.848534415985
2022-01-19 00:00:00 UTC,1.1575244695870386,0.0,48645.41757936108
2022-01-20 00:00:00 UTC,1.1257239977639892,0.0,35546.161963890125
2022-01-21 00:00:00 UTC,1.1143762149465715,0.0,27041.509005524822
2022-01-22 00:00:00 UTC,1.0967026047032098,0.0,76942.16341196928
2022-01-23 00:00:00 UTC,1.069707253905881,0.0,85030.11639662026
2022-01-24 00:00:00 UTC,1.0745034702614376,0.0,20870.5445414474
2022-01-25 00:00:00 UTC,1.053089124605322,0.0,25425.533367134685
2022-01-26 00:00:00 UTC,1.048006330709791,0.0,32252.58048035951
2022-01-27 00:00:00 UTC,1.0588850644049608,0.0,33534.05963681396
2022-01-28 00:00:00 UTC,1.1362916661781024,0.0,80625.99384976918
2022-01-29 00:00:00 UTC,1.1303302559458404,0.0,29927.845710783637
2022-01-30 00:00:00 UTC,1.139617374304723,0.0,14601.105019739718
2022-01-31 00:00:00 UTC,1.1252021584243095,0.0,19483.612819941623
2022-02-01 00:00:00 UTC,1.1276520128190093,0.0,25685.310066907015
2022-02-02 00:00:00 UTC,1.1397105322167576,0.0,30992.22611848284
2022-02-03 00:00:00 UTC,1.1370983528769902,0.0,14973.943204199259
2022-02-04 00:00:00 UTC,1.1241387466607922,0.0,20549.20510086462
2022-02-05 00:00:00 UTC,1.1336967356752505,0.0,43106.205352104225
2022-02-06 00:00:00 UTC,1.1228706595152413,0.0,37990.070896122525
2022-02-07 00:00:00 UTC,1.116843693938995,0.0,15569.039093830963
